STNAME,CTYNAME,POPESTIMATE2019,NPOPCHG_2019,BIRTHS2019,DEATHS2019,NATURALINC2019,INTERNATIONALMIG2019,DOMESTICMIG2019,NETMIG2019,RESIDUAL2019,GQESTIMATES2019,RBIRTH2019,RDEATH2019,RNATURALINC2019,RINTERNATIONALMIG2019,RDOMESTICMIG2019,RNETMIG2019,Personal income (Thousands of dollars) ,# Firearm Fatalities,County Value,AIAN,Asian,Black,Hispanic,White
Illinois,Effingham County,34008,-173,469,375,94,6,-273,-267,0,440,13.75588438,10.99884146,2.757042925,0.175981463,-8.00715658,-7.831175116,1729566,18,11,,,,,
Illinois,Fayette County,21336,-32,228,218,10,-2,-40,-42,0,1651,10.67815661,10.20981641,0.468340202,-0.09366804,-1.873360809,-1.96702885,773156,11,10,,,,,
Illinois,Ford County,12961,-251,145,186,-41,2,-214,-212,2,411,11.08012074,14.21312039,-3.132999656,0.152829252,-16.35272991,-16.19990066,673596,,,,,,,
Illinois,Franklin County,38469,-226,460,509,-49,-2,-173,-175,-2,517,11.92265823,13.19268053,-1.27002229,-0.051837644,-4.483956249,-4.535793894,1450561,25,13,,,,,
Illinois,Fulton County,34340,-490,321,463,-142,5,-353,-348,0,2682,9.281480411,13.38730664,-4.105826225,0.144571346,-10.20673702,-10.06216568,1301586,21,12,,,,,
Illinois,Gallatin County,4828,-217,40,79,-39,0,-178,-178,0,25,8.102906918,16.00324116,-7.900334245,0,-36.05793578,-36.05793578,206518,,,,,,,
Illinois,Greene County,12969,-96,131,153,-22,1,-76,-75,1,284,10.06376277,11.75386034,-1.690097565,0.076822617,-5.83851886,-5.761696243,463586,,,,,,,
Illinois,Grundy County,51054,81,576,405,171,8,-99,-91,1,254,11.29112882,7.939074951,3.352053868,0.156821234,-1.940662766,-1.783841532,3031113,17,7,,,,,
Illinois,Hamilton County,8116,-32,78,102,-24,0,-7,-7,-1,117,9.59173635,12.54303984,-2.951303492,0,-0.860796852,-0.860796852,352733,,,,,,,
Illinois,Hancock County,17708,-120,178,198,-20,2,-102,-100,0,223,10.01800991,11.143629,-1.12561909,0.112561909,-5.740657362,-5.628095452,787325,,,,,,,
Illinois,Hardin County,3821,-72,31,65,-34,0,-38,-38,0,17,8.037334716,16.85247602,-8.815141302,0,-9.852216749,-9.852216749,143253,,,,,,,
Illinois,Henderson County,6646,-51,63,95,-32,1,-18,-17,-2,51,9.443153714,14.23967624,-4.796522521,0.149891329,-2.698043918,-2.548152589,277108,,,,,,,
