State,County,Average Number of guns
Utah,Wasatch,2512.275862
Utah,Washington County,2512.275862
Utah,Wayne,2512.275862
Utah,Weber,2512.275862
Vermont,Addison,419.4285714
Vermont,Bennington,419.4285714
Vermont,Caledonia,419.4285714
Vermont,Chittenden,419.4285714
Vermont,Essex,419.4285714
Vermont,Franklin,419.4285714
Vermont,Grand Isle,419.4285714
Vermont,Lamoille,419.4285714
Vermont,Orange,419.4285714
Vermont,Orleans,419.4285714
Vermont,Rutland,419.4285714
Vermont,Washington County,419.4285714
Vermont,Windham,419.4285714
Vermont,Windsor,419.4285714
Virginia,Accomack,3240.231579
Virginia,Albemarle,3240.231579
Virginia,Alleghany,3240.231579
Virginia,Amelia,3240.231579
Virginia,Amherst,3240.231579
Virginia,Appomattox,3240.231579
Virginia,Arlington,3240.231579
Virginia,Augusta,3240.231579
Virginia,Bath,3240.231579
Virginia,Bedford,3240.231579
Virginia,Bland,3240.231579
Virginia,Botetourt,3240.231579
Virginia,Brunswick,3240.231579
Virginia,Buchanan,3240.231579
Virginia,Buckingham,3240.231579
Virginia,Campbell,3240.231579
Virginia,Caroline,3240.231579
Virginia,Carroll,3240.231579
Virginia,Charles City,3240.231579
Virginia,Charlotte,3240.231579
Virginia,Chesterfield,3240.231579
Virginia,Clarke,3240.231579
Virginia,Craig,3240.231579
Virginia,Culpeper,3240.231579
Virginia,Cumberland,3240.231579
Virginia,Dickenson,3240.231579
Virginia,Dinwiddie,3240.231579
Virginia,Essex,3240.231579
Virginia,Fairfax,3240.231579
Virginia,Fauquier,3240.231579
Virginia,Floyd,3240.231579
Virginia,Fluvanna,3240.231579
Virginia,Franklin,3240.231579
Virginia,Frederick,3240.231579
Virginia,Giles,3240.231579
Virginia,Gloucester,3240.231579
Virginia,Goochland,3240.231579
Virginia,Grayson,3240.231579
Virginia,Greene,3240.231579
Virginia,Greensville,3240.231579
Virginia,Halifax,3240.231579
Virginia,Hanover,3240.231579
Virginia,Henrico,3240.231579
Virginia,Henry,3240.231579
Virginia,Highland,3240.231579
Virginia,Isle Of Wight,3240.231579
Virginia,James City,3240.231579
Virginia,King And Queen,3240.231579
Virginia,King George,3240.231579
Virginia,King William,3240.231579
Virginia,Lancaster,3240.231579
Virginia,Lee,3240.231579
Virginia,Loudoun,3240.231579
Virginia,Louisa,3240.231579
Virginia,Lunenburg,3240.231579
Virginia,Madison,3240.231579
Virginia,Mathews,3240.231579
Virginia,Mecklenburg,3240.231579
Virginia,Middlesex,3240.231579
Virginia,Montgomery,3240.231579
Virginia,Nelson,3240.231579
Virginia,New Kent,3240.231579
Virginia,Northampton,3240.231579
Virginia,Northumberland,3240.231579
Virginia,Nottoway,3240.231579
Virginia,Orange,3240.231579
Virginia,Page,3240.231579
Virginia,Patrick,3240.231579
Virginia,Pittsylvania,3240.231579
Virginia,Powhatan,3240.231579
Virginia,Prince Edward,3240.231579
Virginia,Prince George,3240.231579
Virginia,Prince William,3240.231579
